STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,partner,Geopolitical entity (partner),unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,AT,Austria,2023,,71392,,,,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,BE,Belgium,2013,,73249,,,,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,BE,Belgium,2014,,74729,,,,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,BE,Belgium,2015,,73467,,,,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,BE,Belgium,2016,,69324,,,,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,BE,Belgium,2017,,70193,,,,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,BE,Belgium,2018,,74187,,,,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,BE,Belgium,2019,,79464,,,,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,BE,Belgium,2020,,67776,,,,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,BE,Belgium,2021,,74230,,,,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,BE,Belgium,2022,,82337,,,,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,BE,Belgium,2023,,79120,,,,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,BG,Bulgaria,2013,,3568,,,,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,BG,Bulgaria,2014,,4410,,p,provisional,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,BG,Bulgaria,2015,,6201,,p,provisional,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,BG,Bulgaria,2016,,6309,,p,provisional,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,BG,Bulgaria,2017,,7777,,p,provisional,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,BG,Bulgaria,2018,,8614,,p,provisional,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,BG,Bulgaria,2019,,10161,,p,provisional,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,BG,Bulgaria,2020,,13638,,p,provisional,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,BG,Bulgaria,2021,,16673,,,,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,BG,Bulgaria,2022,,15232,,,,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,BG,Bulgaria,2023,,13156,,,,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,CH,Switzerland,2013,,100422,,,,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,CH,Switzerland,2014,,100017,,,,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,CH,Switzerland,2015,,96012,,,,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,CH,Switzerland,2016,,90648,,,,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,CH,Switzerland,2017,,84736,,,,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,CH,Switzerland,2018,,85749,,,,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,CH,Switzerland,2019,,84205,,,,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,CH,Switzerland,2020,,84330,,,,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,CH,Switzerland,2021,,89230,,,,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,CH,Switzerland,2022,,108404,,,,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,CH,Switzerland,2023,,132902,,,,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,CY,Cyprus,2020,,10703,,,,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,CY,Cyprus,2021,,9209,,,,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,CY,Cyprus,2022,,11219,,,,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,CY,Cyprus,2023,,10307,,,,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,CZ,Czechia,2013,,15695,,b,break in time series,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,CZ,Czechia,2014,,16260,,,,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,CZ,Czechia,2015,,15282,,,,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,CZ,Czechia,2016,,28603,,,,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,CZ,Czechia,2017,,16762,,,,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,CZ,Czechia,2018,,17773,,,,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,CZ,Czechia,2019,,30138,,,,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,CZ,Czechia,2020,,17886,,,,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,CZ,Czechia,2021,,15243,,,,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,CZ,Czechia,2022,,13092,,,,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,CZ,Czechia,2023,,12026,,,,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,DE,Germany,2013,,393915,,e,estimated,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,DE,Germany,2020,,338371,,e,estimated,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,DE,Germany,2021,,329865,,e,estimated,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,DE,Germany,2022,,343842,,e,estimated,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,DE,Germany,2023,,334285,,e,estimated,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,DK,Denmark,2013,,27226,,,,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,DK,Denmark,2014,,29313,,,,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,DK,Denmark,2015,,29647,,,,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,DK,Denmark,2016,,29402,,,,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,DK,Denmark,2017,,30051,,,,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,DK,Denmark,2018,,29683,,,,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,DK,Denmark,2019,,28223,,,,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,DK,Denmark,2020,,27938,,,,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,DK,Denmark,2021,,35145,,,,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,DK,Denmark,2022,,48004,,,,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,DK,Denmark,2023,,43822,,,,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,EE,Estonia,2013,,1668,,,,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,EE,Estonia,2014,,1829,,,,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,EE,Estonia,2015,,9489,,be,"break in time series, estimated",,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,EE,Estonia,2016,,8768,,,,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,EE,Estonia,2017,,10867,,,,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,EE,Estonia,2018,,10104,,,,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,EE,Estonia,2019,,9556,,,,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,EE,Estonia,2020,,7631,,,,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,EE,Estonia,2021,,8796,,,,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,EE,Estonia,2022,,7742,,,,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,EE,Estonia,2023,,6718,,,,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,EL,Greece,2013,,31779,,,,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,EL,Greece,2014,,35547,,,,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,EL,Greece,2015,,36713,,,,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,EL,Greece,2016,,36713,,b,break in time series,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,EL,Greece,2017,,38083,,,,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,EL,Greece,2018,,37252,,,,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,EL,Greece,2019,,35364,,,,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,EL,Greece,2020,,15685,,,,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,EL,Greece,2021,,19044,,,,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,EL,Greece,2022,,23347,,,,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,EL,Greece,2023,,33922,,,,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,ES,Spain,2013,,85466,,,,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,ES,Spain,2014,,94959,,,,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,ES,Spain,2015,,100166,,,,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,ES,Spain,2016,,104266,,,,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,ES,Spain,2017,,121147,,,,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,ES,Spain,2018,,120704,,,,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,ES,Spain,2019,,120198,,,,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,ES,Spain,2020,,85625,,,,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,ES,Spain,2021,,199956,,,,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,ES,Spain,2022,,202092,,,,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,ES,Spain,2023,,208944,,,,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,EU27_2020,European Union - 27 countries (from 2020),2020,,1261456,,ep,"estimated, provisional",,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,EU27_2020,European Union - 27 countries (from 2020),2021,,1453874,,ep,"estimated, provisional",,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,EU27_2020,European Union - 27 countries (from 2020),2022,,1555953,,ep,"estimated, provisional",,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,EU27_2020,European Union - 27 countries (from 2020),2023,,1523026,,ep,"estimated, provisional",,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,FI,Finland,2013,,15141,,,,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,FI,Finland,2014,,14278,,,,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,FI,Finland,2015,,12144,,,,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,FI,Finland,2016,,11828,,,,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,FI,Finland,2017,,11151,,,,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,FI,Finland,2018,,12060,,,,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,FI,Finland,2019,,11683,,,,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,FI,Finland,2020,,12395,,,,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,FI,Finland,2021,,14203,,,,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,FI,Finland,2022,,13800,,,,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,FI,Finland,2023,,12756,,,,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,FR,France,2013,,116522,,,,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,FR,France,2014,,110090,,,,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,FR,France,2015,,110500,,,,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,FR,France,2016,,108088,,,,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,FR,France,2017,,103004,,,,,
dataflow,ESTAT:MIGR_IMM12PRV(1.0),Immigration by broad group of country of previous residence,A,Annual,EU27_2020_FOR,EU27 countries (from 2020) except reporting country,NR,Number,FR,France,2020,,89866,,,,,
